"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"2465","g4416",2169,2978,-0.457313700909827,-0.457313700909827,0,0,0,TRUE
"2466","g4417",5314,6424,-0.273673665026807,-0.273673665026807,0,0,0,TRUE
"2467","g4418",1595,3490,-1.12967061244478,-1.12967061244478,0,0,0,TRUE
"2468","g4420",30915,35965,-0.218286598506479,-0.218286598506479,0,0,0,TRUE
"2469","g4422",386,901,-1.22292625854546,-1.22292625854546,0,0,0,TRUE
"2470","g4424",2251,3920,-0.800287597548415,-0.800287597548415,0,0,0,TRUE
"2471","g4428",3401,4786,-0.492861390830658,-0.492861390830658,0,0,0,TRUE
"2472","g4429",101,5,4.33628338786443,4.33628338786443,0,0,0,TRUE
"2473","g4430",17833,33038,-0.889576929627642,-0.889576929627642,0,0,0,TRUE
"2474","g4431",2685,1781,0.592234571771156,0.592234571771156,0,0,0,TRUE
"2475","g4432",975,2476,-1.34453719057729,-1.34453719057729,0,0,0,TRUE
"2476","g4436",26775,48504,-0.857217152575911,-0.857217152575911,0,0,0,TRUE
"2477","g4437",8711,15728,-0.852424975732779,-0.852424975732779,0,0,0,TRUE
"2478","g4438",4267,6019,-0.496301706200217,-0.496301706200217,0,0,0,TRUE
"2479","g4442",1145,2848,-1.31460154798209,-1.31460154798209,0,0,0,TRUE
"2480","g4443",187,442,-1.2410080995038,-1.2410080995038,0,0,0,TRUE
"2481","g4447",7785,24472,-1.6523630675918,-1.6523630675918,0,0,0,TRUE
"2482","g4448",986,2052,-1.05737117922914,-1.05737117922914,0,0,0,TRUE
"2483","g4449",1415,4810,-1.76523484093816,-1.76523484093816,0,0,0,TRUE
"2484","g4453",3686,2918,0.337076187712823,0.337076187712823,0,0,0,TRUE
"2485","g4458",7750,12850,-0.72950014391964,-0.72950014391964,0,0,0,TRUE
"2486","g4459",169,818,-2.27507759665956,-2.27507759665956,0,0,0,TRUE
"2487","g4460",4473,2503,0.837584467316267,0.837584467316267,0,0,0,TRUE
"2488","g4461",620,2196,-1.82453793373096,-1.82453793373096,0,0,0,TRUE
"2489","g4464",6595,14550,-1.1415745885441,-1.1415745885441,0,0,0,TRUE
"2490","g4466",117,344,-1.55590003511869,-1.55590003511869,0,0,0,TRUE
"2491","g4467",47016,29622,0.666482752526491,0.666482752526491,0,0,0,TRUE
"2492","g4472",4210,2906,0.534785530320917,0.534785530320917,0,0,0,TRUE
"2493","g4473",9421,15901,-0.75516538903163,-0.75516538903163,0,0,0,TRUE
"2494","g4474",649,40,4.02014657311178,4.02014657311178,0,0,0,TRUE
"2495","g4477",12747,22916,-0.846197493397755,-0.846197493397755,0,0,0,TRUE
"2496","g4478",128,1149,-3.16616308264611,-3.16616308264611,0,0,0,TRUE
"2497","g4479",11162,8264,0.433683392185285,0.433683392185285,0,0,0,TRUE
"2498","g4482",2145,3514,-0.712136543621467,-0.712136543621467,0,0,0,TRUE
