"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g1835	2550	2572	-0.0123933955817268	-0.0123933955817268	0.758539090723504	0.773410064157892	0.0632626315525269	FALSE
g11694	1233	1218	0.0176586664965068	0.0176586664965068	0.761901382925395	0.776777114539747	0.063538046209767	FALSE
g11719	6	5	0.263034405833794	0.263034405833794	0.762865814438919	0.777699149569708	0.0636134659192874	FALSE
g5520	21	23	-0.131244533278252	-0.131244533278252	0.762984991468184	0.777759417467961	0.0636183956532259	FALSE
g6471	1611	1594	0.0153048647160965	0.0153048647160965	0.763958569332954	0.778690552763617	0.0636945597372798	FALSE
g12610	22724	22788	-0.00405750322896381	-0.00405750322896381	0.76417935257589	0.77879299723442	0.0637029393887885	FALSE
g7224	197	203	-0.0432840977288	-0.0432840977288	0.764172864666822	0.778847678060392	0.0637029393887885	FALSE
g7988	4708	4737	-0.0088593515429487	-0.0088593515429487	0.765398655050297	0.779974235355787	0.063799561136437	FALSE
g1655	833	821	0.0209342735877431	0.0209342735877431	0.767945419126754	0.782507921763433	0.0640068091114825	FALSE
g9054	22	24	-0.125530882083859	-0.125530882083859	0.768047050872815	0.782549906278753	0.0640102433193454	FALSE
g3131	2108	2089	0.0130623745701062	0.0130623745701062	0.76930689544908	0.783771874444622	0.0641101966628935	FALSE
g1423	210	216	-0.0406419844973458	-0.0406419844973458	0.771276369128456	0.785716565466764	0.0642692665758913	FALSE
g1334	25	23	0.120294233717711	0.120294233717711	0.772798009785878	0.787173809472381	0.064385932592359	FALSE
g12029	23	25	-0.120294233717711	-0.120294233717711	0.772798009785878	0.787173809472381	0.064385932592359	FALSE
g9726	149	154	-0.0476180202327399	-0.0476180202327399	0.773921659464177	0.788225362961942	0.064474478712289	FALSE
g4428	54	57	-0.0780025120012731	-0.0780025120012731	0.775824390451486	0.790101121134535	0.0646279101242317	FALSE
g9328	1038	1051	-0.017956225604296	-0.017956225604296	0.776080804736103	0.790300103902849	0.0646441863199273	FALSE
g871	24	26	-0.115477217419936	-0.115477217419936	0.777268484094023	0.791385082869533	0.0647278452892716	FALSE
g2641	26	24	0.115477217419936	0.115477217419936	0.777268484094023	0.791385082869533	0.0647278452892716	FALSE
g4174	24	26	-0.115477217419936	-0.115477217419936	0.777268484094023	0.791385082869533	0.0647278452892716	FALSE
g684	397	405	-0.0287829006290306	-0.0287829006290306	0.777566154960356	0.791563690491047	0.0647475439260259	FALSE
g5927	55	58	-0.0766212816029119	-0.0766212816029119	0.777764978017833	0.791703856730933	0.0647590091054965	FALSE
g447	511	520	-0.025188332090833	-0.025188332090833	0.779250897384817	0.793154061238181	0.0648776314995789	FALSE
